,board_size,mtcl_c,mtcl_sample_size,game_result,average_turn_time,turns_to_complete
0,3,2.0,100,1,1.4300349235534668,5
1,3,2.0,100,1,1.6477040767669677,5
2,3,2.0,100,0,0.9305302302042643,9
3,3,2.0,100,1,2.0661596775054933,5
4,3,2.0,100,1,2.3447964191436768,5
5,3,2.0,100,0,1.35505919986301,9
6,3,2.0,100,1,2.5951422214508058,5
7,3,2.0,100,1,1.9944756371634347,7
8,3,2.0,100,0,2.196134090423584,9
9,3,2.0,250,1,2.9074350357055665,5
10,3,2.0,250,1,3.2779595851898193,5
11,3,2.0,250,1,4.38217339515686,5
12,3,2.0,250,1,5.128728723526001,5
13,3,2.0,250,1,4.244283846446446,7
14,3,2.0,250,1,4.449560471943447,7
15,3,2.0,250,1,6.309049510955811,5
16,3,2.0,250,1,5.558821984699795,7
17,3,2.0,250,1,7.206755447387695,5
18,3,2.0,500,1,4.933657305581229,7
19,3,2.0,500,1,7.105553913116455,5
20,3,2.0,500,1,8.601521205902099,5
21,3,2.0,500,1,10.934658479690551,5
22,3,2.0,500,1,8.098911183221,7
23,3,2.0,750,1,8.405861330032348,5
24,3,2.0,500,1,9.344177620751518,7
25,3,2.0,750,1,10.158032894134521,5
26,3,2.0,500,1,12.949776983261108,5
27,3,2.0,500,1,15.023267459869384,5
28,3,2.0,750,1,12.862726020812989,5
29,3,2.0,1000,1,11.710792779922485,5
30,3,2.0,500,1,11.462081379360622,9
31,3,2.0,1000,1,13.811237478256226,5
32,3,2.0,750,1,10.78404442469279,9
33,3,2.0,750,1,15.105279854365758,7
34,3,2.0,750,1,14.12372010094779,7
35,3,2.0,750,1,20.13345341682434,5
36,3,2.0,1000,1,17.1561240196228,5
37,3,2.0,750,1,22.882724571228028,5
38,3,2.0,1250,1,12.057089465005058,7
39,3,2.0,1250,1,17.179483938217164,5
40,3,2.0,1000,1,19.91422019004822,5
41,3,2.0,750,1,20.775575501578196,7
42,3,2.0,1000,1,23.65764527320862,5
43,3,2.0,1000,1,24.213496017456055,5
44,3,2.0,1500,1,13.575853926794869,7
45,3,2.0,1250,1,16.88519961493356,7
46,3,2.0,1000,1,27.506142711639406,5
47,3,2.0,1500,1,15.104826484407697,7
48,3,2.0,1000,1,22.377750090190343,7
49,3,2.0,1250,1,15.588974850518364,7
50,3,2.0,1500,1,17.500277185440062,5
51,3,2.0,1250,1,22.823448038101198,5
52,3,2.0,1250,1,22.210056877136232,5
53,3,2.0,1000,1,19.922055176326207,7
54,3,2.0,1250,1,21.986373710632325,5
55,3,2.0,1500,1,12.494112661906652,7
56,3,2.0,1250,1,21.06056966781616,5
57,3,2.0,1500,1,16.502939462661743,5
58,3,2.0,1500,1,17.04012279510498,5
59,3,2.0,1250,1,13.599686656679426,7
60,3,2.0,1500,1,11.624921015330724,7
61,3,2.0,1500,1,9.553018856048585,5
62,3,2.0,1500,1,4.273133707046509,5
